ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778401186,,,,,,2.17
1778401187,,,,,,2.17
1778401188,,,,,,2.17
1778401189,,,,,,2.17
1778401190,,,,,,2.08
1778401191,,,,,,2.08
1778401192,,,,,,2.08
1778401193,,,,,,2.08
1778401194,,,,,,2.08
1778401195,,,,,,1.99
1778401196,,,,,,1.99
1778401197,,,,,,1.99
1778401198,,,,,,1.99
1778401199,,,,,,1.99
1778401200,,,,,,2.23
1778401201,,,,,,2.23
1778401202,,,,,,2.23
1778401203,,,,,,2.23
1778401204,,,,,,2.23
1778401205,,,,,,2.21
1778401206,,,,,,2.21
1778401207,,,,,,2.21
1778401208,,,,,,2.21
1778401209,,,,,,2.21
1778401210,,,,,,2.19
1778401211,,,,,,2.19
1778401212,,,,,,2.19
1778401213,,,,,,2.19
1778401214,,,,,,2.10
1778401215,,,,,,2.10
1778401217,,,,,,2.10
1778401218,,,,,,2.10
1778401219,,,,,,2.10
1778401220,,,,,,2.09
1778401221,,,,,,2.09
1778401222,,,,,,2.09
1778401223,,,,,,2.09
1778401224,,,,,,2.09
1778401225,,,,,,2.40
1778401226,,,,,,2.40
1778401227,,,,,,2.40
1778401228,,,,,,2.40
1778401229,,,,,,2.40
1778401230,,,,,,2.53
1778401231,,,,,,2.53
1778401232,,,,,,2.53
1778401233,,,,,,2.53
1778401234,,,,,,2.53
1778401235,,,,,,2.73
1778401236,,,,,,2.73
1778401237,,,,,,2.73
1778401238,,,,,,2.73
1778401239,,,,,,2.73
1778401240,,,,,,2.67
1778401241,,,,,,2.67
1778401242,,,,,,2.67
1778401243,,,,,,2.67
1778401244,,,,,,2.67
1778401245,,,,,,2.54
1778401246,,,,,,2.54
1778401247,,,,,,2.54
1778401248,,,,,,2.54
1778401249,,,,,,2.54
1778401250,,,,,,2.57
1778401251,,,,,,2.57
1778401252,,,,,,2.57
1778401253,,,,,,2.57
1778401254,,,,,,2.45
1778401255,,,,,,2.45
1778401256,,,,,,2.45
1778401257,,,,,,2.45
1778401259,,,,,,2.45
1778401260,,,,,,2.25
1778401261,,,,,,2.25
1778401262,,,,,,2.25
1778401263,,,,,,2.25
1778401264,,,,,,2.25
1778401265,,,,,,2.15
1778401266,,,,,,2.15
1778401267,,,,,,2.15
1778401268,,,,,,2.15
1778401269,,,,,,2.15
1778401270,,,,,,2.14
1778401271,,,,,,2.14
1778401272,,,,,,2.14
1778401273,,,,,,2.14
1778401274,,,,,,2.14
1778401275,,,,,,2.29
1778401276,,,,,,2.29
1778401277,,,,,,2.29
1778401278,,,,,,2.29
1778401279,,,,,,2.29
1778401280,,,,,,2.26
1778401281,,,,,,2.26
1778401282,,,,,,2.26
1778401283,,,,,,2.26
1778401284,,,,,,2.26
1778401285,,,,,,2.40
1778401286,,,,,,2.40
1778401287,,,,,,2.40
1778401288,,,,,,2.40
1778401289,,,,,,2.40
1778401290,,,,,,2.29
1778401291,,,,,,2.29
1778401292,,,,,,2.29
1778401293,,,,,,2.29
1778401294,,,,,,2.29
1778401295,,,,,,2.27
1778401296,,,,,,2.27
1778401297,,,,,,2.27
1778401298,,,,,,2.27
1778401300,,,,,,2.24
1778401301,,,,,,2.24
1778401302,,,,,,2.24
1778401303,,,,,,2.24
1778401304,,,,,,2.24
1778401305,,,,,,2.22
1778401306,,,,,,2.22
1778401307,,,,,,2.22
1778401308,,,,,,2.22
1778401309,,,,,,2.22
1778401310,,,,,,2.37
1778401311,,,,,,2.37
1778401312,,,,,,2.37
